id,model,seed,date,prompt
icon-fuel,model_ideogram-v3-generate-transparent,,2026-07-20T22:58:01.667Z,"flat minimal game UI icon of fuel pump nozzle, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-morale,model_ideogram-v3-generate-transparent,,2026-07-20T22:58:14.704Z,"flat minimal game UI icon of rising star, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-fatigue,model_ideogram-v3-generate-transparent,,2026-07-20T22:58:14.908Z,"flat minimal game UI icon of racing helmet with sweat drop, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-overtake,model_ideogram-v3-generate-transparent,,2026-07-20T22:58:17.242Z,"flat minimal game UI icon of two arrows overtaking, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-pace,model_ideogram-v3-generate-transparent,,2026-07-20T22:58:18.229Z,"flat minimal game UI icon of speedometer needle at redline, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-audio-off,model_ideogram-v3-generate-transparent,,2026-07-20T22:58:33.659Z,"flat minimal game UI icon of muted speaker with slash, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-speed,model_ideogram-v3-generate-transparent,,2026-07-20T22:58:34.136Z,"flat minimal game UI icon of fast forward chevrons, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-pit,model_ideogram-v3-generate-transparent,,2026-07-20T22:58:35.741Z,"flat minimal game UI icon of crossed wrench and tire, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-audio-on,model_ideogram-v3-generate-transparent,,2026-07-20T22:58:37.580Z,"flat minimal game UI icon of speaker with sound waves, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-back,model_ideogram-v3-generate-transparent,,2026-07-20T22:58:49.132Z,"flat minimal game UI icon of left-pointing chevron arrow, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-settings,model_ideogram-v3-generate-transparent,,2026-07-20T22:58:49.906Z,"flat minimal game UI icon of gear cog, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-save,model_ideogram-v3-generate-transparent,,2026-07-20T22:58:54.913Z,"flat minimal game UI icon of floppy disk, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-lock,model_ideogram-v3-generate-transparent,,2026-07-20T22:59:01.287Z,"flat minimal game UI icon of closed padlock, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-check,model_ideogram-v3-generate-transparent,,2026-07-20T22:59:09.426Z,"flat minimal game UI icon of bold checkmark, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-warning,model_ideogram-v3-generate-transparent,,2026-07-20T22:59:09.530Z,"flat minimal game UI icon of warning triangle, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-info,model_ideogram-v3-generate-transparent,,2026-07-20T22:59:15.874Z,"flat minimal game UI icon of information circle, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-home,model_ideogram-v3-generate-transparent,,2026-07-20T22:59:21.468Z,"flat minimal game UI icon of garage building facade, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-garage,model_ideogram-v3-generate-transparent,,2026-07-20T22:59:23.998Z,"flat minimal game UI icon of car under a roof, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-dealership,model_ideogram-v3-generate-transparent,,2026-07-20T22:59:27.672Z,"flat minimal game UI icon of car with price tag, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-driver,model_ideogram-v3-generate-transparent,,2026-07-20T22:59:30.465Z,"flat minimal game UI icon of classic racing helmet, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-freerace,model_ideogram-v3-generate-transparent,,2026-07-20T22:59:39.640Z,"flat minimal game UI icon of steering wheel, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-events,model_ideogram-v3-generate-transparent,,2026-07-20T22:59:40.921Z,"flat minimal game UI icon of calendar page with flag, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-trophy,model_ideogram-v3-generate-transparent,,2026-07-20T22:59:45.955Z,"flat minimal game UI icon of race winner trophy cup, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-retire,model_ideogram-v3-generate-transparent,,2026-07-20T22:59:46.637Z,"flat minimal game UI icon of exit door with flag, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-calendar,model_ideogram-v3-generate-transparent,,2026-07-20T22:59:58.924Z,"flat minimal game UI icon of calendar page, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-stopwatch,model_ideogram-v3-generate-transparent,,2026-07-20T22:59:59.227Z,"flat minimal game UI icon of chronograph stopwatch, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
car-studio-vulpe,model_bfl-flux-2-pro-editing,,2026-07-20T23:00:43.181Z,"professional game asset, Gran Turismo era broadcast aesthetic, deep navy and gold palette, sporty 2000s European three-door hot hatch, bright rally red #d84a3a paint, completely debadged with no manufacturer emblem and no license plate, three-quarter front studio shot, soft key light with subtle gold rim light, plain light gray studio background, clean showroom quality"
car-studio-phantom,model_bfl-flux-2-pro-editing,,2026-07-20T23:01:23.573Z,"professional game asset, Gran Turismo era broadcast aesthetic, deep navy and gold palette, wide-body 2000s Japanese flagship super coupe race car, very low and aggressive stance, gloss black #20242c paint, completely debadged with no manufacturer emblem and no license plate, three-quarter front studio shot, soft key light with subtle gold rim light, plain light gray studio background, clean showroom quality"
car-studio-arrow,model_bfl-flux-2-pro-editing,,2026-07-20T23:01:23.783Z,"professional game asset, Gran Turismo era broadcast aesthetic, deep navy and gold palette, open-cockpit endurance racing prototype car with large rear wing and covered wheels, pearl white and silver #e2e6ee paint, completely debadged with no manufacturer emblem and no license plate, three-quarter front studio shot, soft key light with subtle gold rim light, plain light gray studio background, clean showroom quality"
car-studio-arrow,model_bfl-flux-2-pro-editing,,2026-07-20T23:02:34.938Z,"professional game asset, Gran Turismo era broadcast aesthetic, deep navy and gold palette, open-cockpit endurance racing prototype car with large rear wing and covered wheels, pearl white and silver #e2e6ee paint, completely clean bodywork with zero decals or stickers, completely debadged with no manufacturer emblem and no license plate, three-quarter front studio shot, soft key light with subtle gold rim light, plain light gray studio background, clean showroom quality"
portrait-miller,model_bfl-flux-2-pro-editing,,2026-07-20T23:04:51.104Z,"professional portrait of a sharp-jawed racing driver in his early 20s, plain dark navy racing suit with steel blue trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-sato,model_bfl-flux-2-pro-editing,,2026-07-20T23:04:51.509Z,"professional portrait of a round-faced friendly racing driver in his early 20s, plain dark navy racing suit with steel blue trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-rossi,model_bfl-flux-2-pro-editing,,2026-07-20T23:04:53.809Z,"professional portrait of a broad-shouldered stocky racing driver in his early 20s, plain dark navy racing suit with steel blue trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-weber,model_bfl-flux-2-pro-editing,,2026-07-20T23:04:53.823Z,"professional portrait of a lean weathered racing driver in his early 20s, plain dark navy racing suit with steel blue trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-tanaka,model_bfl-flux-2-pro-editing,,2026-07-20T23:05:08.244Z,"professional portrait of a youthful energetic racing driver in his early 20s, plain dark navy racing suit with steel blue trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-lindqvist,model_bfl-flux-2-pro-editing,,2026-07-20T23:05:08.629Z,"professional portrait of a silver-templed distinguished racing driver in his early 20s, plain dark navy racing suit with steel blue trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-okafor,model_bfl-flux-2-pro-editing,,2026-07-20T23:05:09.570Z,"professional portrait of a sharp-jawed racing driver in his 30s, plain dark navy racing suit with silver trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-dubois,model_bfl-flux-2-pro-editing,,2026-07-20T23:05:13.525Z,"professional portrait of a focused intense racing driver in his early 20s, plain dark navy racing suit with steel blue trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-novak,model_bfl-flux-2-pro-editing,,2026-07-20T23:05:29.808Z,"professional portrait of a round-faced friendly racing driver in his 30s, plain dark navy racing suit with silver trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-kim,model_bfl-flux-2-pro-editing,,2026-07-20T23:05:30.153Z,"professional portrait of a broad-shouldered stocky racing driver in his 30s, plain dark navy racing suit with silver trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-reyes,model_bfl-flux-2-pro-editing,,2026-07-20T23:05:30.417Z,"professional portrait of a lean weathered racing driver in his 30s, plain dark navy racing suit with silver trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-bauer,model_bfl-flux-2-pro-editing,,2026-07-20T23:05:31.103Z,"professional portrait of a youthful energetic racing driver in his 30s, plain dark navy racing suit with silver trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-yamada,model_bfl-flux-2-pro-editing,,2026-07-20T23:05:47.547Z,"professional portrait of a focused intense racing driver in his 30s, plain dark navy racing suit with silver trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-vasseur,model_bfl-flux-2-pro-editing,,2026-07-20T23:05:47.804Z,"professional portrait of a sharp-jawed racing driver in his 40s, plain dark navy racing suit with gold trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-kowalski,model_bfl-flux-2-pro-editing,,2026-07-20T23:05:47.902Z,"professional portrait of a round-faced friendly racing driver in his 40s, plain dark navy racing suit with gold trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-costa,model_bfl-flux-2-pro-editing,,2026-07-20T23:05:50.324Z,"professional portrait of a silver-templed distinguished racing driver in his 30s, plain dark navy racing suit with silver trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-nakamura,model_bfl-flux-2-pro-editing,,2026-07-20T23:06:07.950Z,"professional portrait of a silver-templed distinguished racing driver in his 40s, plain dark navy racing suit with gold trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-fontaine,model_bfl-flux-2-pro-editing,,2026-07-20T23:06:09.006Z,"professional portrait of a youthful energetic racing driver in his 40s, plain dark navy racing suit with gold trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-ibarra,model_bfl-flux-2-pro-editing,,2026-07-20T23:06:09.009Z,"professional portrait of a lean weathered racing driver in his 40s, plain dark navy racing suit with gold trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
portrait-schmidt,model_bfl-flux-2-pro-editing,,2026-07-20T23:06:11.273Z,"professional portrait of a broad-shouldered stocky racing driver in his 40s, plain dark navy racing suit with gold trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
license-ic,model_ideogram-v3-generate-transparent,,2026-07-20T23:06:26.292Z,"heraldic racing license badge, letter-free shield emblem in rich gold, laurel wreath detail, flat premium emblem style, deep navy accents, game UI asset, no text"
license-ia,model_ideogram-v3-generate-transparent,,2026-07-20T23:06:26.755Z,"heraldic racing license badge, letter-free shield emblem in platinum with blue inlay, laurel wreath detail, flat premium emblem style, deep navy accents, game UI asset, no text"
portrait-hale,model_bfl-flux-2-pro-editing,,2026-07-20T23:06:26.799Z,"professional portrait of a focused intense racing driver in his 40s, plain dark navy racing suit with gold trim and no sponsor patches, confident expression, studio headshot chest-up, soft key light, plain light gray background, motorsport team photo style"
license-a,model_ideogram-v3-generate-transparent,,2026-07-20T23:06:28.937Z,"heraldic racing license badge, letter-free shield emblem in polished silver, laurel wreath detail, flat premium emblem style, deep navy accents, game UI asset, no text"
medal-gold,model_ideogram-v3-generate-transparent,,2026-07-20T23:06:43.194Z,"flat minimal game UI icon of round gold race medal with ribbon, gold metal finish, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
medal-bronze,model_ideogram-v3-generate-transparent,,2026-07-20T23:06:44.649Z,"flat minimal game UI icon of round bronze race medal with ribbon, bronze metal finish, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
license-s,model_ideogram-v3-generate-transparent,,2026-07-20T23:06:45.894Z,"heraldic racing license badge, letter-free shield emblem in black and gold with laurel crown, laurel wreath detail, flat premium emblem style, deep navy accents, game UI asset, no text"
medal-silver,model_ideogram-v3-generate-transparent,,2026-07-20T23:06:46.683Z,"flat minimal game UI icon of round silver race medal with ribbon, silver metal finish, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-part-power-1,model_ideogram-v3-generate-transparent,,2026-07-20T23:06:59.944Z,"flat minimal game UI icon of engine control unit chip, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-part-power-2,model_ideogram-v3-generate-transparent,,2026-07-20T23:07:00.218Z,"flat minimal game UI icon of turbocharger snail housing, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-part-weight-1,model_ideogram-v3-generate-transparent,,2026-07-20T23:07:03.104Z,"flat minimal game UI icon of feather over car panel, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-part-power-3,model_ideogram-v3-generate-transparent,,2026-07-20T23:07:06.603Z,"flat minimal game UI icon of full racing engine block, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-part-tires-1,model_ideogram-v3-generate-transparent,,2026-07-20T23:07:16.768Z,"flat minimal game UI icon of sports tire with tread, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-part-weight-2,model_ideogram-v3-generate-transparent,,2026-07-20T23:07:17.228Z,"flat minimal game UI icon of stripped roll cage, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-part-tires-2,model_ideogram-v3-generate-transparent,,2026-07-20T23:07:19.093Z,"flat minimal game UI icon of racing slick tire, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-part-aero-1,model_ideogram-v3-generate-transparent,,2026-07-20T23:07:22.243Z,"flat minimal game UI icon of rear wing spoiler, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-partcat-power,model_ideogram-v3-generate-transparent,,2026-07-20T23:07:34.644Z,"flat minimal game UI icon of engine block, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
icon-partcat-weight,model_ideogram-v3-generate-transparent,,2026-07-20T23:07:35.006Z,"flat minimal game UI icon of weight scale, single weight geometric line-and-fill, dark metallic gold #C9A54A with heavier solid fill, subtle silver accent, premium motorsport broadcast style, centered, no text"
